"","date","spx","vix","spx_lag","vix_lag"
"1296",2015-11-18,-0.0150810450175434,16.85,-0.0128825926276889,16.06
"1297",2015-11-25,0.0181823498165197,15.19,-0.0150810450175434,16.85
"1298",2015-12-02,0.00593978844589094,15.91,0.0181823498165197,15.19
"1299",2015-12-09,-0.0192890551027497,19.61,0.00593978844589094,15.91
"1300",2015-12-16,-0.00711731686372308,17.86,-0.0192890551027497,19.61
"1301",2015-12-23,-0.00210114830197894,15.57,-0.00711731686372308,17.86
"1302",2015-12-31,0.0090049946136519,18.21,-0.00210114830197894,15.57
"1303",2016-01-14,-0.0819716683085913,23.95,0.0090049946136519,18.21
"1304",2016-01-28,-0.00341495390340862,22.42,-0.0819716683085913,23.95
"1305",2016-01-29,0.00465728137830057,20.2,-0.00341495390340862,22.42
"1306",2016-02-04,0.00932946145723346,21.84,0.00465728137830057,20.2
"1307",2016-02-11,-0.0338290604549949,28.14,0.00932946145723346,21.84
"1308",2016-02-25,0.0459501894964807,19.11,-0.0338290604549949,28.14
"1309",2016-02-29,0.00789908223638247,20.55,0.0459501894964807,19.11
"1310",2016-03-03,0.0197572837971782,16.7,0.00789908223638247,20.55
"1311",2016-03-10,0.00270447219983883,18.05,0.0197572837971782,16.7
"1312",2016-03-17,0.0180464798565523,14.44,0.00270447219983883,18.05
"1313",2016-03-24,0.00275297251961115,14.74,0.0180464798565523,14.44
"1314",2016-04-07,0.0150210580177912,16.16,0.00275297251961115,14.74
"1315",2016-04-14,0.00963640505862773,13.72,0.0150210580177912,16.16
"1316",2016-04-21,0.00921796158222477,13.95,0.00963640505862773,13.72
"1317",2016-04-28,-0.00530900199325446,15.22,0.00921796158222477,13.95
"1318",2016-04-29,-0.0091394738226529,15.7,-0.00530900199325446,15.22
"1319",2016-05-05,-0.00910793408693822,15.91,-0.0091394738226529,15.7
"1320",2016-05-12,0.00692661779390646,14.41,-0.00910793408693822,15.91
"1321",2016-05-19,-0.0111069723341574,16.33,0.00692661779390646,14.41
"1322",2016-05-26,0.0231042798929659,13.43,-0.0111069723341574,16.33
"1323",2016-06-02,0.00299793443751684,13.63,0.0231042798929659,13.43
"1324",2016-06-09,0.00855218309489869,14.64,0.00299793443751684,13.63
"1325",2016-06-16,-0.0232978044572589,19.37,0.00855218309489869,14.64
"1326",2016-06-23,0.0127954470663389,17.25,-0.0232978044572589,19.37
"1327",2016-06-30,-0.00937977828746184,15.63,0.0127954470663389,17.25
"1328",2016-07-14,0.040860132068282,12.82,-0.00937977828746184,15.63
"1329",2016-07-21,0.00696516951823067,12.74,0.040860132068282,12.82
"1330",2016-07-28,-0.00315705666594557,12.72,0.00696516951823067,12.74
"1331",2016-07-29,0.00128344221047527,11.87,-0.00315705666594557,12.72
"1332",2016-08-04,-0.00245293545367764,12.42,0.00128344221047527,11.87
"1333",2016-08-11,0.00668358362105992,11.68,-0.00245293545367764,12.42
"1334",2016-08-18,0.00180443256794183,11.43,0.00668358362105992,11.68
"1335",2016-08-25,-0.00394610202117429,13.63,0.00180443256794183,11.43
"1336",2016-08-31,0.000124235605924561,13.42,-0.00394610202117429,13.63
"1337",2016-09-01,-0.00102596661697862,13.48,0.000124235605924561,13.42
"1338",2016-09-15,-0.0211713558049673,16.3,-0.00102596661697862,13.48
"1339",2016-09-22,0.0214457785975082,12.02,-0.0211713558049673,16.3
"1340",2016-09-29,-0.000939685113361066,14.02,0.0214457785975082,12.02
"1341",2016-09-30,-0.00571257319378482,13.29,-0.000939685113361066,14.02
"1342",2016-10-06,0.000792947864836968,12.84,-0.00571257319378482,13.29
"1343",2016-10-13,-0.0129551204233116,16.69,0.000792947864836968,12.84
"1344",2016-10-20,0.00575047177339849,13.75,-0.0129551204233116,16.69
"1345",2016-10-27,0.000723450532319481,15.36,0.00575047177339849,13.75
"1346",2016-10-31,-0.00666026137328235,17.06,0.000723450532319481,15.36
"1347",2016-11-03,-0.014546103353398,22.08,-0.00666026137328235,17.06
"1348",2016-11-10,0.0327282256527537,14.74,-0.014546103353398,22.08
"1349",2016-11-17,0.00513035815620855,13.35,0.0327282256527537,14.74
"1350",2016-11-30,0.0120994579112368,13.33,0.00513035815620855,13.35
"1351",2016-12-01,-0.00217690036599127,14.07,0.0120994579112368,13.33
"1352",2016-12-08,0.0186167432516577,12.64,-0.00217690036599127,14.07
"1353",2016-12-15,0.00564001195825314,12.79,0.0186167432516577,12.64
"1354",2016-12-22,0.00406430114874179,11.43,0.00564001195825314,12.79
"1355",2016-12-30,-0.00500236419155686,14.04,0.00406430114874179,11.43
"1356",2017-01-13,0.00938439605437869,11.23,-0.00500236419155686,14.04
"1357",2017-01-27,0.0115631352464427,10.58,0.00938439605437869,11.23
"1358",2017-01-31,-0.0108741985715652,11.99,0.0115631352464427,10.58
"1359",2017-02-03,0.00638516811637535,10.97,-0.0108741985715652,11.99
"1360",2017-02-10,0.0103690562542058,10.85,0.00638516811637535,10.97
"1361",2017-02-17,0.0132942952163893,11.49,0.0103690562542058,10.85
"1362",2017-02-28,0.00984630880790083,12.92,0.0132942952163893,11.49
"1363",2017-03-03,0.00627197727887485,10.96,0.00984630880790083,12.92
"1364",2017-03-10,-0.00352804798145256,11.66,0.00627197727887485,10.96
"1365",2017-03-17,0.00471650397046175,11.28,-0.00352804798145256,11.66
"1366",2017-03-24,-0.0139656250131098,12.96,0.00471650397046175,11.28
"1367",2017-03-31,0.00612656461398386,12.37,-0.0139656250131098,12.96
"1368",2017-04-07,-0.00348018030970643,12.87,0.00612656461398386,12.37
"1369",2017-04-21,-0.000785032610679193,14.63,-0.00348018030970643,12.87
"1370",2017-04-28,0.0165368575723859,10.82,-0.000785032610679193,14.63
"1371",2017-05-05,-0.000547274489488991,10.57,0.0165368575723859,10.82
"1372",2017-05-12,2.92596880917539e-05,10.4,-0.000547274489488991,10.57
"1373",2017-05-19,-0.00880690842821563,12.04,2.92596880917539e-05,10.4
"1374",2017-05-26,0.0181877986143031,9.81,-0.00880690842821563,12.04
"1375",2017-06-02,0.00694967902257204,9.75,0.0181877986143031,9.81
"1376",2017-06-09,0.00210177355138019,10.7,0.00694967902257204,9.75
"1377",2017-06-16,-0.00211378309712329,10.38,0.00210177355138019,10.7
"1378",2017-06-23,0.00140257646303965,10.02,-0.00211378309712329,10.38
"1379",2017-06-30,-0.00223851477625137,11.18,0.00140257646303965,10.02
"1380",2017-07-14,0.00821669685493176,9.51,-0.00223851477625137,11.18
"1381",2017-07-21,0.00744745137108249,9.36,0.00821669685493176,9.51
"1382",2017-07-28,0.00069709005430818,10.29,0.00744745137108249,9.36
"1383",2017-07-31,0.00276211767755319,10.26,0.00069709005430818,10.29
"1384",2017-08-04,0.000379653788056267,10.03,0.00276211767755319,10.26
"1385",2017-08-11,-0.0144698168663804,15.51,0.000379653788056267,10.03
"1386",2017-08-18,-0.00548946350735757,14.26,-0.0144698168663804,15.51
"1387",2017-08-25,0.00703563955116904,11.28,-0.00548946350735757,14.26
"1388",2017-08-31,0.00733417323865315,10.59,0.00703563955116904,11.28
"1389",2017-09-01,0.00477940430024559,10.13,0.00733417323865315,10.59
"1390",2017-09-15,0.00858787109706527,10.17,0.00477940430024559,10.13
"1391",2017-09-22,0.00063710346319823,9.59,0.00858787109706527,10.17
"1392",2017-09-29,0.00508557378887242,9.51,0.00063710346319823,9.59
"1393",2017-10-06,0.0149325088846037,9.65,0.00508557378887242,9.51
"1394",2017-10-13,0.00322676883459461,9.61,0.0149325088846037,9.65
"1395",2017-10-20,0.00465633143688904,9.97,0.00322676883459461,9.61
"1396",2017-10-27,0.00105158204676825,9.8,0.00465633143688904,9.97
"1397",2017-10-31,0.00222934644744099,10.18,0.00105158204676825,9.8
"1398",2017-11-03,0.00230590957263033,9.14,0.00222934644744099,10.18
"1399",2017-11-10,-0.000677787546525255,11.29,0.00230590957263033,9.14
"1400",2017-11-17,0.00106969281212943,11.43,-0.000677787546525255,11.29
"1401",2017-11-30,0.0197410702532772,11.28,0.00106969281212943,11.43
"1402",2017-12-01,0.00424081125922093,11.43,0.0197410702532772,11.28
"1403",2017-12-08,0.000419643869796982,9.58,0.00424081125922093,11.43
"1404",2017-12-15,0.00544930296537305,9.42,0.000419643869796982,9.58
"1405",2017-12-22,0.00886632113446795,9.9,0.00544930296537305,9.42
"1406",2018-01-12,0.0320242006988996,10.16,0.00886632113446795,9.9
"1407",2018-01-26,0.0279043239067498,11.08,0.0320242006988996,10.16
